[2, 5, 3, 7, 6, 1]
[5, 2, 3, 7, 6, 1]
[5, 3, 2, 7, 6, 1]
[5, 3, 7, 2, 6, 1]
[5, 3, 7, 6, 2, 1]
[5, 7, 3, 6, 2, 1]
[5, 7, 6, 3, 2, 1]
[7, 5, 6, 3, 2, 1]
[7, 6, 5, 3, 2, 1]
[2, 5, 3, 7, 6, 1, 4, 7, 1]
[5, 2, 3, 7, 6, 1, 4, 7, 1]
[5, 3, 2, 7, 6, 1, 4, 7, 1]
[5, 3, 7, 2, 6, 1, 4, 7, 1]
[5, 3, 7, 6, 2, 1, 4, 7, 1]
[5, 3, 7, 6, 2, 4, 1, 7, 1]
[5, 3, 7, 6, 2, 4, 7, 1, 1]
[5, 7, 3, 6, 2, 4, 7, 1, 1]
[5, 7, 6, 3, 2, 4, 7, 1, 1]
[5, 7, 6, 3, 4, 2, 7, 1, 1]
[5, 7, 6, 3, 4, 7, 2, 1, 1]
[7, 5, 6, 3, 4, 7, 2, 1, 1]
[7, 6, 5, 3, 4, 7, 2, 1, 1]
[7, 6, 5, 4, 3, 7, 2, 1, 1]
[7, 6, 5, 4, 7, 3, 2, 1, 1]
[7, 6, 5, 7, 4, 3, 2, 1, 1]
[7, 6, 7, 5, 4, 3, 2, 1, 1]
[7, 7, 6, 5, 4, 3, 2, 1, 1]
